val_image,train_image,similarity
93cb6685-4846-4866-86c3-ceea40907a27.jpg_0.jpg,cbfd5717-7a13-4d45-b45e-c32d4e7aa850.jpg_0.jpg,0.9600
952095aa-106c-4705-8674-8461c06aed95.jpg_3.jpg,b8220d41-67a8-4bde-bb63-8e0c9036a44c.jpg_1.jpg,0.9598
ad713b34-0a0e-4e04-9592-268061f65dc8.jpg_0.jpg,be280010-6754-406b-9182-e9c2669e6e08.jpg_0.jpg,0.9598
2497ac6e-98b0-498a-9065-4b68d6aae972.jpg_0.jpg,003d539d-9e13-403e-a2bb-bcafaf8483df.jpg_0.jpg,0.9598
1739482b-7071-4f57-b069-fd83dd28b392.jpg_0.jpg,79e1c209-54fc-4eed-9019-6e1fcd6ebc12.jpg_0.jpg,0.9594
41fcf478-1c38-41a4-996a-47f95a0d656a.jpg_0.jpg,ccab3474-2d75-4af3-b6ed-f67cf7a5d827.jpg_0.jpg,0.9590
ae29a555-81b9-4bbb-9faa-c6807abee908.jpg_2.jpg,8caeda31-50d8-4e41-a62a-2883904394ba.jpg_1.jpg,0.9588
1727899a-7781-4b01-955f-fe2630a067d6.jpg_0.jpg,02ee39c7-bd76-4c8b-9e5d-51ce96a662b7.jpg_0.jpg,0.9586
424a20ab-e34a-4d68-a494-189281adce88.jpg_0.jpg,52a137ed-b212-4d78-b1ab-0c9147caedd5.jpg_0.jpg,0.9585
ed8f7f4f-a704-46a4-9c9a-f89a542911b3.jpg_0.jpg,aa60d44d-c58b-41e0-a3fb-b8439718a703.jpg_0.jpg,0.9585
566e87ad-616e-457e-b4d4-28eceb57bef5.jpg_0.jpg,3ba81de7-2cd9-45f8-9d1c-331b73b4b032.jpg_0.jpg,0.9584
081a2c0f-19d9-4089-9e00-de8eb1a6a7c1.jpg_0.jpg,a50ab755-2aa6-43c9-9bac-c086862daa03.jpg_0.jpg,0.9581
2e185a4e-b22c-4018-a7e2-db3ded5035a9.jpg_0.jpg,20873077-cd16-457e-8b1e-7ac753f317a3.jpg_0.jpg,0.9581
fec15449-1560-43e3-a8fc-9d6f5f42b411.jpg_0.jpg,5e59b4c5-86ff-49e8-aa85-cb5a11b4388e.jpg_1.jpg,0.9577
9fdd30e5-b8ef-4d43-94b4-56bc1bb28dc3.jpg_0.jpg,f2057bb5-1bdb-40fc-a815-e1df648ed5e5.jpg_0.jpg,0.9576
93cb6685-4846-4866-86c3-ceea40907a27.jpg_0.jpg,857087e7-84b2-4b00-88d8-c6e741f5193b.jpg_0.jpg,0.9574
833d2885-454a-42c3-b1c9-287c384794b3.jpg_0.jpg,d739bd63-2803-4227-b083-4006c36b19dc.jpg_0.jpg,0.9571
34185eaf-23f2-4be7-ab44-7cc763389b08.jpg_0.jpg,c9d57685-ec90-48c1-8520-c07854c6d99d.jpg_0.jpg,0.9570
928b03dc-997f-4de5-9bef-87d67e11e856.jpg_0.jpg,6a53c7d0-b247-4e60-bc59-2555dcc15b99.jpg_0.jpg,0.9568
91a8489b-542d-4532-a068-bea52ee43871.jpg_0.jpg,7b1ba85c-626e-4791-9316-43ec18c7ebb5.jpg_0.jpg,0.9566
1e957315-68a3-4f4e-887f-60f82a6d8d98.jpg_0.jpg,50e545a2-825c-47c1-98de-295e7d49a228.jpg_0.jpg,0.9565
8527c1e3-f7e0-4fd7-8300-9e3a31195625.jpg_0.jpg,b17aa116-03e3-4a1b-a808-6dd4d98d0023.jpg_0.jpg,0.9565
045f835a-ee2f-4bed-88fc-8c35878469fa.jpg_0.jpg,2ae89c4a-c2f5-4f54-ac52-77130f1a9dd9.jpg_0.jpg,0.9564
1739482b-7071-4f57-b069-fd83dd28b392.jpg_0.jpg,d77418bd-818a-4512-a315-b13d7898b5fe.jpg_0.jpg,0.9563
87969d37-7b17-44b0-b964-26c46a0cdb2f.jpg_0.jpg,e83c92af-3f26-49c5-889d-8c93ba6852c1.jpg_0.jpg,0.9560
ed8f7f4f-a704-46a4-9c9a-f89a542911b3.jpg_0.jpg,53b24765-b718-4feb-bdda-13886ec9a522.jpg_0.jpg,0.9558
107a1817-b6c5-4356-bb60-28606be3bb22.jpg_0.jpg,fe4251e3-9b7f-4a1b-9e2d-dcb3e16c5975.jpg_0.jpg,0.9558
1727899a-7781-4b01-955f-fe2630a067d6.jpg_0.jpg,2b355838-45f3-4156-8ea3-ac935059109b.jpg_0.jpg,0.9556
266b14c6-f9e2-4c83-962b-0349a3f71129.jpg_0.jpg,86beae6d-0b69-4923-b2ed-448989e1f624.jpg_0.jpg,0.9556
1727899a-7781-4b01-955f-fe2630a067d6.jpg_0.jpg,e8bd2bb0-8369-496f-a551-297617116d91.jpg_0.jpg,0.9555
4ecf455d-d9b2-4c91-9d66-6d25003767d1.jpg_0.jpg,3f7dd463-81c8-4fed-81d7-9200bc02e078.jpg_2.jpg,0.9554
01953ea0-c56a-4341-82bb-b8a21a2eb544.jpg_0.jpg,891b46a5-3960-47d5-b13f-bc7f83f70d28.jpg_0.jpg,0.9552
9fdd30e5-b8ef-4d43-94b4-56bc1bb28dc3.jpg_0.jpg,3cfb9cba-6af1-4096-ad86-335e83c91c21.jpg_0.jpg,0.9552
01b1b795-c492-4bc0-b29d-7d9014011082.jpg_0.jpg,10d1c07a-d378-4b3d-b595-dfab5c89aad2.jpg_0.jpg,0.9552
4ecf455d-d9b2-4c91-9d66-6d25003767d1.jpg_0.jpg,51b4f2bf-615a-4a5b-a637-510ced0d698f.jpg_0.jpg,0.9548
22507d2f-afcd-4cef-9a0e-6a3e1df5b7e3.jpg_0.jpg,21935c89-96ae-4799-ae5e-06a2f0683d81.jpg_0.jpg,0.9547
78b6390e-43e2-462c-949c-c6d9629d7d35.jpg_0.jpg,9d047506-1bc6-47c7-9019-03b379b17ee4.jpg_0.jpg,0.9547
d019583f-b9ff-47e1-a18d-414c78617026.jpg_0.jpg,b28c4376-24d4-4a76-8419-0be769962589.jpg_0.jpg,0.9547
19d77dd5-8c15-4471-b924-bb5620e0a2b6.jpg_0.jpg,03374e37-d131-415a-aea3-b9b88e748b5b.jpg_0.jpg,0.9544
19d77dd5-8c15-4471-b924-bb5620e0a2b6.jpg_0.jpg,7b1ba85c-626e-4791-9316-43ec18c7ebb5.jpg_0.jpg,0.9540
14f3ab2b-7400-4d37-ab1d-58f19a5c32ff.jpg_0.jpg,775e204e-9a2f-4965-aa6b-7f08b4c0cec7.jpg_0.jpg,0.9540
51123a24-d61c-4123-96e8-9abda44f2828.jpg_2.jpg,e52b0bef-c95a-458e-a3b5-57b7c91ff61e.jpg_3.jpg,0.9539
928b03dc-997f-4de5-9bef-87d67e11e856.jpg_0.jpg,559cd5ac-7b83-41b8-b973-48356eb59d00.jpg_0.jpg,0.9539
14f3ab2b-7400-4d37-ab1d-58f19a5c32ff.jpg_0.jpg,f6023b3a-3fce-4b08-ad13-2adf5614949b.jpg_0.jpg,0.9539
f8e68725-05f5-4a17-af0a-6095a83817f1.jpg_0.jpg,2eda893b-b6fb-4ef6-bdc5-8522d4f2fa95.jpg_0.jpg,0.9537
7d4d4736-4526-4f09-8800-4020efb68165.jpg_0.jpg,5312b980-e81c-4f34-b656-523af45a6f8c.jpg_0.jpg,0.9537
d93a1181-1b18-42cf-88e5-930cbbad72dc.jpg_0.jpg,be281591-6dc8-4fb0-9669-fc341a93b8f2.jpg_0.jpg,0.9536
80ca8d74-f7fb-445f-a162-2ab1d110978e.jpg_0.jpg,e64b6524-24bd-46c9-a8af-5a9efeee5dd6.jpg_0.jpg,0.9535
ed8f7f4f-a704-46a4-9c9a-f89a542911b3.jpg_0.jpg,b939afec-ee57-4b51-8617-c9193c192b1e.jpg_0.jpg,0.9533
1e957315-68a3-4f4e-887f-60f82a6d8d98.jpg_0.jpg,b939afec-ee57-4b51-8617-c9193c192b1e.jpg_0.jpg,0.9532
cbf7da00-b834-4ceb-9dc1-1fd80ec38532.jpg_1.jpg,5e59b4c5-86ff-49e8-aa85-cb5a11b4388e.jpg_1.jpg,0.9531
d93e0dc2-4db3-48f5-8824-409dce2d28a4.jpg_1.jpg,6a8999fb-b8f9-43f0-9dd1-e2355ad6a5ca.jpg_0.jpg,0.9531
bcf9e11e-2055-450a-96a8-a0b05ac60b61.jpg_0.jpg,b796be0f-594b-42b5-8a51-5b057acea348.jpg_0.jpg,0.9529
107a1817-b6c5-4356-bb60-28606be3bb22.jpg_0.jpg,5ce09e8b-e5cf-427d-9530-d7be2442e295.jpg_0.jpg,0.9527
569cb6d0-0121-4c42-a1b1-7b86a6603031.jpg_1.jpg,54983970-a0ac-4914-ba8a-572ab8274fc9.jpg_1.jpg,0.9526
f79e9ada-84a6-4f72-9d3d-d4a6d3d5e0eb.jpg_0.jpg,87a16eef-2879-43d8-86df-1b1bfe18f080.jpg_0.jpg,0.9525
ad713b34-0a0e-4e04-9592-268061f65dc8.jpg_0.jpg,53b24765-b718-4feb-bdda-13886ec9a522.jpg_0.jpg,0.9525
de54e1e6-83d7-4a10-a991-a2b2075a3ed5.jpg_0.jpg,4f2f4e3c-bf03-4590-bd70-728e3fe0c2eb.jpg_0.jpg,0.9524
14f3ab2b-7400-4d37-ab1d-58f19a5c32ff.jpg_0.jpg,755b5f36-de2f-4a92-9ccf-7b94fa1472c5.jpg_0.jpg,0.9523
d639e149-1c1b-4c24-8311-1e1f88edbd52.jpg_0.jpg,dca3a740-1ede-40b4-a1d5-24984b8be9f1.jpg_0.jpg,0.9520
9e6cda55-791d-495d-a4b7-2bd0b0865435.jpg_0.jpg,8c3c9dc3-1f76-4297-87e9-95121c93a4bb.jpg_0.jpg,0.9518
533ad9ab-acb0-40f1-86ce-bed870762699.jpg_0.jpg,8e95c397-9995-45bd-b257-fc542571fe0d.jpg_3.jpg,0.9517
4ecf455d-d9b2-4c91-9d66-6d25003767d1.jpg_0.jpg,bd92c940-7a9b-4a66-8e43-8bc5c6f2e42f.jpg_0.jpg,0.9516
