base_name,original_filename,img_h,img_w,ssim_whole,ssim_edit_region,edit_region_pct,ssim_level,ssim_tier
754f8b44-c420-440c-8038-6746ba9b0412_0,754f8b44-c420-440c-8038-6746ba9b0412_0.jpg,512,399,0.98452,0.89676,14.5,🔶 MODERATE,moderate
7552211d-b478-411b-b7d3-42f92202dee9_0,7552211d-b478-411b-b7d3-42f92202dee9.jpg_0.jpg,512,326,0.99689,0.95946,7.13,⚠️  MILD,mild
7556073f-2e09-4802-be58-4be8e44fba74_0,7556073f-2e09-4802-be58-4be8e44fba74.jpg_0.jpg,512,381,0.99816,0.97638,6.62,⚠️  MILD,mild
755b5f36-de2f-4a92-9ccf-7b94fa1472c5_0,755b5f36-de2f-4a92-9ccf-7b94fa1472c5.jpg_0.jpg,512,349,0.99428,0.93579,7.73,⚠️  MILD,mild
755e18df-7a2d-42f9-8a37-f12650a7d26c_3,755e18df-7a2d-42f9-8a37-f12650a7d26c_3.jpg,512,407,0.98359,0.91126,17.83,🔶 MODERATE,moderate
756176f1-1bc4-4141-8eaa-f7c943a4605e_0,756176f1-1bc4-4141-8eaa-f7c943a4605e.jpg_0.jpg,512,391,0.99139,0.92164,10.49,⚠️  MILD,mild
75673205-1ba2-4651-b014-2776743fcd95_2,75673205-1ba2-4651-b014-2776743fcd95.jpg_2.jpg,512,364,0.99879,0.98016,3.75,✅ NEGLIGIBLE,negligible
757b5291-bb88-406b-b36d-b0f95fecd94c_0,757b5291-bb88-406b-b36d-b0f95fecd94c.jpg_0.jpg,512,363,0.99468,0.9513,7.97,⚠️  MILD,mild
75834305-7693-48f3-8122-3ae57c05fcda_0,75834305-7693-48f3-8122-3ae57c05fcda_0.jpg,511,332,0.99334,0.93079,9.09,⚠️  MILD,mild
75892327-dc2c-45f6-a917-ada1bf7606da_1,75892327-dc2c-45f6-a917-ada1bf7606da.jpg_1.jpg,512,408,0.9961,0.94782,6.72,⚠️  MILD,mild
7599fa2a-500d-4aab-b7c4-c28845c945e5_3,7599fa2a-500d-4aab-b7c4-c28845c945e5_3.jpg,512,427,0.99839,0.96131,3.03,⚠️  MILD,mild
75b2ea9b-2b9e-440a-9f67-b99683758083_0,75b2ea9b-2b9e-440a-9f67-b99683758083_0.jpg,512,396,0.99841,0.97832,6.23,⚠️  MILD,mild
75bbc601-50ba-4aa0-b9ab-f42a66f80239_0,75bbc601-50ba-4aa0-b9ab-f42a66f80239.jpg_0.jpg,512,354,0.99042,0.94367,14.69,⚠️  MILD,mild
75bc174d-7341-4c9a-a120-4fa826aad68c_0,75bc174d-7341-4c9a-a120-4fa826aad68c.jpg_0.jpg,512,440,0.99512,0.95448,7.1,⚠️  MILD,mild
75d702fb-8ede-4ade-a9d4-d30cb6c3b829_0,75d702fb-8ede-4ade-a9d4-d30cb6c3b829_0.jpg,512,420,0.98008,0.87625,15.54,🔴 SIGNIFICANT,significant
75e01112-4e08-4a43-aaa3-51ecad0207a7_0,75e01112-4e08-4a43-aaa3-51ecad0207a7.jpg_0.jpg,512,356,0.99603,0.95524,5.96,⚠️  MILD,mild
75e109e2-6103-46f4-8500-99812d8eabff_1,75e109e2-6103-46f4-8500-99812d8eabff.jpg_1.jpg,512,430,0.98943,0.92216,11.73,⚠️  MILD,mild
75e1ba13-3f67-4ed1-a180-560ff1d7833d_0,75e1ba13-3f67-4ed1-a180-560ff1d7833d.jpg_0.jpg,512,376,0.99722,0.95916,4.96,⚠️  MILD,mild
75e71755-e85c-4672-b4f7-91225e2b7cd6_0,75e71755-e85c-4672-b4f7-91225e2b7cd6.jpg_0.jpg,512,385,0.99452,0.96872,12.59,⚠️  MILD,mild
75f09cfc-e773-4df7-84c7-d8a0ba4f5284_0,75f09cfc-e773-4df7-84c7-d8a0ba4f5284_0.jpg,512,371,0.99975,1.0,0.0,✅ NEGLIGIBLE,negligible
75f6d01b-18e6-44fd-87d0-31f9cb24dd3a_0,75f6d01b-18e6-44fd-87d0-31f9cb24dd3a.jpg_0.jpg,512,398,0.99073,0.93654,13.12,⚠️  MILD,mild
76126de7-faf7-4f60-b4f5-02ead8b6ac72_0,76126de7-faf7-4f60-b4f5-02ead8b6ac72.jpg_0.jpg,512,367,0.99452,0.92501,6.64,⚠️  MILD,mild
7629efc2-b687-4bf7-866a-6822cdf643a6_0,7629efc2-b687-4bf7-866a-6822cdf643a6.jpg_0.jpg,512,400,0.99468,0.94037,8.04,⚠️  MILD,mild
7632ff00-7940-44de-9c2d-c2247866a961_0,7632ff00-7940-44de-9c2d-c2247866a961.jpg_0.jpg,512,369,0.99456,0.93484,7.75,⚠️  MILD,mild
763cc14c-1f8a-4f37-84ec-fa9fb393b669_0,763cc14c-1f8a-4f37-84ec-fa9fb393b669.jpg_0.jpg,512,373,0.99241,0.92159,7.82,⚠️  MILD,mild
7644dc43-b6c4-4430-b703-93c6e9227cb4_0,7644dc43-b6c4-4430-b703-93c6e9227cb4_0.jpg,512,347,0.9916,0.93686,12.67,⚠️  MILD,mild
7648dd76-b0e1-4494-b5c6-30de86346f5a_0,7648dd76-b0e1-4494-b5c6-30de86346f5a.jpg_0.jpg,512,321,0.99759,0.96464,6.12,⚠️  MILD,mild
7654cdab-8a6f-41a0-a36a-ada5f4b2d07c_0,7654cdab-8a6f-41a0-a36a-ada5f4b2d07c_0.jpg,512,353,0.99206,0.89547,7.22,🔶 MODERATE,moderate
